,TLabel,Tweet text processed,Unnamed: 0,Unnamed: 0.1,ZLabel,cashtags,conversation_id,created_at,date,day,geo,has_media,hashtags,hour,id,img_urls,is_replied,is_reply_to,likes,link,links,name,near,nlikes,nreplies,nretweets,parent_tweet_id,place,quote_url,replies,reply_to,reply_to_users,retweet,retweet_date,retweet_id,retweets,screen_name,search,source,text,text_html,timestamp,timestamp_epochs,timezone,trans_dest,trans_src,translate,tweet,tweet_id,tweet_url,user_id,user_id_str,user_rt,user_rt_id,username,video_url,tweet_processed,pred,pred_raw
9,-1.0,"day 3: the beloved #smogtower is in action. the aqi has dropped from 400 to 324, with pm10 spiking . rest of delhi without smog tower is lesser, who said rain had anything to do with it. haters gonna hate. #smogtowersogood #sarcasm #myrighttobreathe",334.0,348.0,-1,[],1.21e+18,1578289544000.0,2020-01-06 5:45:44,1.0,,,"['#smogtower', '#smogtowersogood', '#sarcasm', '#myrighttobreathe']",5.0,1.21e+18,,,,,https://twitter.com/KANAK0409/status/1214060461626294272,,Kanak,,2.0,0.0,1.0,,,,,"[{'user_id': '956702270', 'username': 'KANAK0409'}, {'user_id': '1018871382736764929', 'username': 'MRTB_India'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Day 3: the beloved #smogtower is in action. The AQI has dropped from 400 to 324, with PM10 spiking . Rest of Delhi without smog tower is lesser, who said rain had anything to do with it. Haters gonna hate. #SmogTowerSoGood #Sarcasm #MyRightToBreathe @MRTB_India pic.twitter.com/kNofY4Utnx",,,956702270,956702270.0,,,KANAK0409,,"day 3: the beloved #smogtower is in action. the aqi has dropped from 400 to 324, with pm10 spiking . rest of delhi without smog tower is lesser, who said rain had anything to do with it. haters gonna hate. #smogtowersogood #sarcasm #myrighttobreathe",-1,0.836982786655426
20,-1.0,a smog tower is for optics. not to save lives. please don't waste taxpayer money. #cleanairboss needed urgently …,612.0,681.0,-1,[],1.2e+18,1574740760000.0,2019-11-26 3:59:20,2.0,,,['#cleanairboss'],3.0,1.2e+18,,,,,https://twitter.com/ravinarajkohli/status/1199175782666395648,,ravina raj kohli,,0.0,0.0,0.0,,,https://twitter.com/Brikesh/status/1199169462533947392,,"[{'user_id': '289820335', 'username': 'ravinarajkohli'}, {'user_id': '1123854605304127488', 'username': 'OfPinaki'}, {'user_id': '24705126', 'username': 'ShashiTharoor'}, {'user_id': '1072993274', 'username': 'PrakashJavdekar'}, {'user_id': '405427035', 'username': 'ArvindKejriwal'}, {'user_id': '471741741', 'username': 'PMOIndia'}]",,False,,,,,smog tower,,,,,,UTC,,,,@OfPinaki @ShashiTharoor @PrakashJavdekar @ArvindKejriwal A smog tower is for optics. Not to save lives. Please don't waste taxpayer money. #CleanAirBoss needed urgently @PMOIndia https://twitter.com/Brikesh/status/1199169462533947392 …,,,289820335,289820335.0,,,ravinarajkohli,,a smog tower is for optics. not to save lives. please don't waste taxpayer money. #cleanairboss needed urgently …,1,0.8864198923110962
23,-1.0,making the peripheral road reduced #pollution. heights of stupidity. this is the same government that denied pollution is a health hazard than constructed a smog tower. #jhumlepejhumla …,110.0,116.0,-1,[],1.22e+18,1579880191000.0,2020-01-24 15:36:31,5.0,,,"['#pollution', '#jhumlepejhumla']",15.0,1.22e+18,,,,,https://twitter.com/jkhatrinet/status/1220732115605540864,,Jay Khatri,,0.0,0.0,0.0,,,https://twitter.com/BJP4India/status/1220728714721447936,,"[{'user_id': '93017212', 'username': 'jkhatrinet'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Making the peripheral road reduced #pollution. Heights of stupidity. 

This is the same government that denied pollution is a health hazard than constructed a smog tower.

#jhumlepejhumla https://twitter.com/BJP4India/status/1220728714721447936 …",,,93017212,93017212.0,,,jkhatrinet,,making the peripheral road reduced #pollution. heights of stupidity. this is the same government that denied pollution is a health hazard than constructed a smog tower. #jhumlepejhumla …,1,0.8770706653594971
26,-1.0,do you plan to install many many smog towers? research shows that one smog tower will not be enough. …,151.0,159.0,-1,[],1.22e+18,1579748816000.0,2020-01-23 3:06:56,4.0,,,[],3.0,1.22e+18,,,,,https://twitter.com/GurunathBgiri/status/1220181088418459648,,Gurunath,,0.0,0.0,0.0,,,,,"[{'user_id': '2466278540', 'username': 'GurunathBgiri'}, {'user_id': '85462891', 'username': 'TajinderBagga'}, {'user_id': '2935760071', 'username': 'pulkit____'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Do you plan to install many many Smog Towers? Research shows that one Smog Tower will not be enough.

 https://theprint.in/ilanomics/smog-towers-for-delhi-pollution-are-like-paracetamol-for-dengue-wont-cure-real-disease/327858/ …",,,2466278540,2466278540.0,,,GurunathBgiri,,do you plan to install many many smog towers? research shows that one smog tower will not be enough. …,-1,0.8487657308578491
29,-1.0,"smog tower from the unreleased sonic x-treme is such a banger, it sounds like you’re trying to escape a crumbling tower while and 80s metal villain threatens you with his magical bass it’s great",900.0,1117.0,-1,[],1.17e+18,1567597673000.0,2019-09-04 11:47:53,3.0,,,[],11.0,1.17e+18,,,,,https://twitter.com/SnoozingStar/status/1169215501752524800,,Simp for MGS2 Rosemary,,0.0,0.0,0.0,,,,,"[{'user_id': '814652005989785600', 'username': 'SnoozingStar'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Smog Tower from the Unreleased Sonic X-treme is such a banger, it sounds like you’re trying to escape a crumbling tower while and 80s metal villain threatens you with his magical bass it’s great",,,814652005989785600,8.15e+17,,,SnoozingStar,,"smog tower from the unreleased sonic x-treme is such a banger, it sounds like you’re trying to escape a crumbling tower while and 80s metal villain threatens you with his magical bass it’s great",1,0.9260461926460266
31,-1.0,instead grow 100 trees ..trees are real.smog tower.,224.0,235.0,-1,[],1.22e+18,1579350797000.0,2020-01-18 12:33:17,6.0,,,[],12.0,1.22e+18,,,,,https://twitter.com/NEERAJ_RTI/status/1218511678767161344,,Neeraj Sharma,,0.0,1.0,0.0,,,,,"[{'user_id': '2552249743', 'username': 'NEERAJ_RTI'}, {'user_id': '2991581923', 'username': 'DaaruBaazMehta'}]",,False,,,,,smog tower,,,,,,UTC,,,,Instead grow 100 trees ..Trees are real.smog tower.,,,2552249743,2552249743.0,,,NEERAJ_RTI,,instead grow 100 trees ..trees are real.smog tower.,0,0.5644583702087402
33,-1.0,heard of a smog tower in london? no right? because there isn’t one! london fought the great smog in the 50’s by targeting emission reduction instead of installing giant vacuum cleaners. i am baffled how and are pushing a false solution …,614.0,683.0,-1,[],1.2e+18,1574739254000.0,2019-11-26 3:34:14,2.0,,,[],3.0,1.2e+18,,,,,https://twitter.com/Brikesh/status/1199169462533947392,,Brikesh,,8.0,2.0,13.0,,,https://twitter.com/ravinarajkohli/status/1199168184592433152,,"[{'user_id': '31711965', 'username': 'Brikesh'}, {'user_id': '27686420', 'username': 'iitdelhi'}, {'user_id': '19959268', 'username': 'iitbombay'}]",,False,,,,,smog tower,,,,,,UTC,,,,Heard of a Smog Tower in London? No right? Because there isn’t one! London fought the great smog in the 50’s by targeting emission reduction instead of installing giant vacuum cleaners. I am baffled how @iitdelhi and @iitbombay are pushing a false solution https://twitter.com/ravinarajkohli/status/1199168184592433152 …,,,31711965,31711965.0,,,Brikesh,,heard of a smog tower in london? no right? because there isn’t one! london fought the great smog in the 50’s by targeting emission reduction instead of installing giant vacuum cleaners. i am baffled how and are pushing a false solution …,-1,0.8708005547523499
37,-1.0,"seems like delhi smog tower isn't working from few days. no lights,no fan sound now. didn't it just got inaugurated? #airpollution #delhismog #smogtower #airquality #news",120.0,126.0,-1,[],1.22e+18,1579783665000.0,2020-01-23 12:47:45,4.0,,,"['#airpollution', '#delhismog', '#smogtower', '#airquality', '#news']",12.0,1.22e+18,,,,,https://twitter.com/raghavarora87/status/1220327258553864192,,Raghav Arora,,0.0,1.0,0.0,,,,,"[{'user_id': '944257830', 'username': 'raghavarora87'}]",,False,,,,,smog tower,,,,,,UTC,,,,"Seems like delhi smog tower isn't working from few days. No lights,no fan sound now. Didn't it just got inaugurated? #AirPollution #DelhiSmog #SmogTower #AirQuality #NEWS",,,944257830,944257830.0,,,raghavarora87,,"seems like delhi smog tower isn't working from few days. no lights,no fan sound now. didn't it just got inaugurated? #airpollution #delhismog #smogtower #airquality #news",-1,0.852452278137207
40,-1.0,"“this is really not the way to clean up the air,” anumita roychowdhury, an air-pollution expert, told about the gautam gambhir foundation's smog tower at lajpat nagar. “this is diverting resources from cutting emissions at the sources.”",50.0,54.0,-1,[],1.23e+18,1581511560000.0,2020-02-12 12:46:00,3.0,,,[],12.0,1.23e+18,,,,,https://twitter.com/thecaravanindia/status/1227574573534564352,,The Caravan,,3.0,0.0,2.0,,,,,"[{'user_id': '86478153', 'username': 'thecaravanindia'}, {'user_id': '478180580', 'username': 'ljamespage'}]",,False,,,,,smog tower,,,,,,UTC,,,,"“This is really not the way to clean up the air,” Anumita Roychowdhury, an air-pollution expert, told @ljamespage about the Gautam Gambhir Foundation's smog tower at Lajpat Nagar. “This is diverting resources from cutting emissions at the sources.”   http://bit.ly/39gcKut ",,,86478153,86478153.0,,,thecaravanindia,,"“this is really not the way to clean up the air,” anumita roychowdhury, an air-pollution expert, told about the gautam gambhir foundation's smog tower at lajpat nagar. “this is diverting resources from cutting emissions at the sources.”",-1,0.8390207290649414
47,-1.0,thank you for this #smogtower but this is not even a temporary solution. we need to stop cutting our forests & move towards green energy. …,446.0,480.0,-1,[],1.21e+18,1578060283000.0,2020-01-03 14:04:43,5.0,,,['#smogtower'],14.0,1.21e+18,,,,,https://twitter.com/UnmuktTGA/status/1213098868625137665,,Unmukt - The Green Army,,2.0,0.0,2.0,,,https://twitter.com/BhavreenMK/status/1213025929758273536,,"[{'user_id': '1183408266056851459', 'username': 'UnmuktTGA'}, {'user_id': '99448420', 'username': 'GautamGambhir'}]",,False,,,,,smog tower,,,,,,UTC,,,,thank you @GautamGambhir for this #SmogTower but this is not even a temporary solution. We need to stop cutting our forests & move towards green energy.  https://twitter.com/BhavreenMK/status/1213025929758273536 …,,,1183408266056851459,1.18e+18,,,UnmuktTGA,,thank you for this #smogtower but this is not even a temporary solution. we need to stop cutting our forests & move towards green energy. …,-1,0.8574485778808594
