,date,tweet_processed,tweet,ZLabel,favorites,geo,hashtags,id,mentions,new,permalink,retweets,username,Lang,Tweet text processed,pred,pred_raw
2,03-11-2019 8:20,fully knows #oddeven is not the solution. he is not taking it as solution but a way to put his pictures on advertisement before elections.,@ ArvindKejriwal fully knows # oddeven is not the solution. He is not taking it as solution but a way to put his pictures on advertisement before elections.,-1,0.0,,#,1.19e+18,@,,https://twitter.com/dineshdfi/status/1190823432851730433,0.0,dineshdfi,,fully knows #oddeven is not the solution. he is not taking it as solution but a way to put his pictures on advertisement before elections.,-1,0.9990636706352234
3,13-11-2019 20:52,what the use of extending the #oddeven if air quality is the same it was done to reduce polution ;but there is zero result people are suffering,What the use of extending the # OddEven if air quality is the same it was done to reduce polution ;but there is zero result people are suffering,-1,0.0,,#,1.19e+18,,,https://twitter.com/diksha101992/status/1194636656382337025,0.0,diksha101992,en,what the use of extending the #oddeven if air quality is the same it was done to reduce polution ;but there is zero result people are suffering,-1,0.9990599751472473
21,04-11-2019 17:49,"absolutely true. two wheelers which create more pollution are exempted. car owners classes, 2 wheelers masses..vote bank politics #oddeven #delhincrpollution","Absolutely true. Two wheelers which create more pollution are exempted. Car owners classes, 2 wheelers masses..Vote bank politics # OddEven # DelhiNCRPollution",-1,0.0,,# #,1.19e+18,,,https://twitter.com/monuchadha/status/1191329007335137280,0.0,monuchadha,en,"absolutely true. two wheelers which create more pollution are exempted. car owners classes, 2 wheelers masses..vote bank politics #oddeven #delhincrpollution",1,0.9942585229873657
23,16-11-2019 16:23,"delhi becoming tough day by day, i feel discomfort travelling nowadays it's hurting air quality didn't improving and it's worsening every day still no one taking action for the poisonous air #oddeven sucks nothing works #delhiairemergency #delhincrpollution","Delhi becoming tough day by day, I feel discomfort travelling nowadays it's Hurting air quality didn't improving and it's worsening every day still no one taking action for the poisonous air # OddEven sucks nothing works # DelhiAirEmergency # DelhiNCRPollution",-1,0.0,,# # #,1.2e+18,,,https://twitter.com/SaaniyaJackson/status/1195656190165831680,0.0,SaaniyaJackson,,"delhi becoming tough day by day, i feel discomfort travelling nowadays it's hurting air quality didn't improving and it's worsening every day still no one taking action for the poisonous air #oddeven sucks nothing works #delhiairemergency #delhincrpollution",-1,0.99835604429245
24,16-11-2019 13:44,truth be told. #oddeven scheme is a farce. …,Truth be told. # OddEven scheme is a farce. https://twitter.com/pradip103/status/1195326228716294144 …,-1,0.0,,#,1.2e+18,,,https://twitter.com/ratneshkjain/status/1195616045945376769,0.0,ratneshkjain,,truth be told. #oddeven scheme is a farce. …,-1,0.9988914132118225
26,14-11-2019 14:05,"i don't want #oddeven anymore, i want delhi government should take genuine steps to fight against pollution, and these processes should continue by 365 days.","I don't want # OddEven anymore, i want Delhi government should take genuine steps to fight against pollution, and these processes should continue by 365 days.",-1,1.0,,#,1.19e+18,,,https://twitter.com/PawanCh39165564/status/1194896547168706560,0.0,PawanCh39165564,,"i don't want #oddeven anymore, i want delhi government should take genuine steps to fight against pollution, and these processes should continue by 365 days.",-1,0.7524256706237793
33,15-11-2019 14:08,#righttobreathe: central pollution control board (cpcb) says #oddeven can't benefit more than 4%.,# RightToBreathe: Central Pollution Control Board (CPCB) says # OddEven can't benefit more than 4%.,-1,12.0,,# #,1.2e+18,,,https://twitter.com/utkarsh_aanand/status/1195259784011776000,13.0,utkarsh_aanand,,#righttobreathe: central pollution control board (cpcb) says #oddeven can't benefit more than 4%.,-1,0.9606784582138062
40,15-11-2019 20:18,"by now it is very clear that #oddeven is ineffective. please spare the public now so hard for a middle class person to afford a car so that we don’t scramble for non existent public transport with family, and you take that car off road and it doesn’t help anyone!","@ ArvindKejriwal By now it is very clear that # OddEven is ineffective. Please spare the public now So hard for a middle class person to afford a car so that we don’t scramble for non existent public transport with family, and you take that car off road and it doesn’t help anyone!",-1,0.0,,#,1.2e+18,@,,https://twitter.com/iamdivye13/status/1195352858868232195,0.0,iamdivye13,,"by now it is very clear that #oddeven is ineffective. please spare the public now so hard for a middle class person to afford a car so that we don’t scramble for non existent public transport with family, and you take that car off road and it doesn’t help anyone!",-1,0.9990550875663757
43,16-11-2019 11:04,rather than extension of #oddeven #oddevenscheme one has to be serious about stubble burning #delhismog #delhichokes #delhiairpollution,Rather than extension of # OddEven # oddevenscheme one has to be serious about stubble burning # DelhiSmog # DelhiChokes # DelhiAirPollutionpic.twitter.com/jYAXq0Wehp,-1,1.0,,# # # # #,1.2e+18,,,https://twitter.com/ProbasiBangali/status/1195575799732031488,0.0,ProbasiBangali,,rather than extension of #oddeven #oddevenscheme one has to be serious about stubble burning #delhismog #delhichokes #delhiairpollution,-1,0.9929960370063782
47,04-11-2019 22:49,"#oddeven is so powerful that just by listening its name, pm 2.5 and pm 10, both dropped by nearly 450 points each on 3 nov - even before odd even started #delhincrpollution #letsuniteagainstpollution","# OddEven is so powerful that just by listening its name, PM 2.5 and PM 10, both dropped by nearly 450 points each on 3 Nov - even before Odd Even started # DelhiNCRPollution # LetsUniteAgainstPollution",-1,0.0,,# # #,1.19e+18,,,https://twitter.com/amitmittal01/status/1191404591247589382,0.0,amitmittal01,en,"#oddeven is so powerful that just by listening its name, pm 2.5 and pm 10, both dropped by nearly 450 points each on 3 nov - even before odd even started #delhincrpollution #letsuniteagainstpollution",1,0.997761607170105
