,Locations
0,Gurgaon
1,New Delhi
2,"New Delhi, India"
3,India
4,Delhi
5,"Mumbai, Delhi, London"
6,"ÜT: 18.947445, 72.825078"
7,"A-9, SEC-68 , NOIDA (UP)"
8,"Noida, UP"
9,Noida
10,"Kolkata, West Bengal, India"
11,"Mumbai, India"
12,"First Floor, next to axis bank atm,  1A, Hauz Khas Village, Deer Park,  Hauz Khas, New Delhi,  Delhi 11001"
13,Nagpur/Pune/Mumbai
14,Based in Geneva. Recently  🇲🇲 🇪🇹 🇸🇸 🇧🇩
15,आनंदवन
16,"Noida, Uttar Pradesh"
17,Gurgaon India
18,"New Delhi, India "
19,DEL // KTM // MSP // .. // YYZ
20,"Hyderabad, India"
21,Mumbai
22,"Muzaffarpur, Bihar"
23,Bangalore 
24,Hyderabad
25,"Noida, India"
26,Bengaluru / Ranchi
27,Singapore
28,Bangalore
29,NEW DELHI
30,India 
31,"Bengaluru, India"
32,National Capital Region
33,"Chandigarh, India"
34,"Delhi, India"
35,"Gurgaon, Haryana, India"
36,"Bhopal, India"
37,127.0.0.1
38,"Hyderabad, Telangana"
39,"Ohio, US & New Delhi, India"
40,"Bangalore , India"
41,"Nagercoil, Tamil Nadu"
42,आपणा हरयाणा 
43,On stage!
44,"Pune, India"
45,"New Delhi, Delhi-NCR-Mumbai"
46,New Delhi 
47,"Indore, India"
48,Global
49," New Delhi, India"
50,"Gurgaon ,India"
51,"Al Ahmady, Kuwait"
52,Ind
53,ख़्यालों में
54,Qatar
55,"Dallas, TX"
56,GiLL-Ville • RUZTY
57,"São Paulo, Brasil"
58,B
59,"Andheri West, Mumbai"
60,"Jalandhar, Punjab"
61,"London, England"
62,London
63,Alok@weekendinvesting.com
64,"New Delhi, Chennai, Sydney"
65,"New Delhi/Maharashtra,India "
66,New Delhi India 
67,Virudhunagar | Bangalore India
68,mumbai
69,"Panipat, India"
70,Kathmandu • Bangkok • New York
71,Jammu
72,INDIA
73,Planet earth
74,RTs are not Endorsements
75,"Sagarpur, New Delhi"
76,"New Delhi, India // Katihar"
77,#MandirWahinBanega
78, New Delhi
79,"Damoh, India"
80,Intia
81,"Jaipur, India"
82,Bengaluru
83,Toronto
84,"Allahabad, India"
85,"New Delhi, Pune, Raipur, Dmt"
86,"West Bengal, India"
87,भारत 
88,New Delhi /Luxembourg 
89,भारत
90,blueplanet
91,"New York, USA"
92,Jalandhar/Punjab
93,"Kerala, INDIA"
94,"908, 9th Floor, Tower A1, Ansal Corporate Park, Sector 142, Noida"
95,"Mumbai, MAH"
96,"Pune n Yavatmal, India"
97,United Arab Emirates
98,"A-009, SEC-68 , NOIDA"
99,"Cochin, India"
100,"Jamshedpur, India"
101,United Kingdom
102,Delhi/Gurgaon/Noida
103,Kuanwala
104,Mumbai (India)
105,"Shahdara,New Delhi"
106,France
107,Bhubaneswar
108,delhi
109,"Gurgaon, Haryana"
110,Delhi NCR
111,"Kundapur , Karnataka"
112,"Boston, MA"
113,Srinagar
114,Asia Europe USA Africa
115,anxiety .
116,"Gurgaon, India"
117,Chennnai
118,"New Delhi , INDIA"
119,Mithilanchal
120,West Africa
121,DELHI.INDIA.EUROPE.USA.GLOBAL
122,Bengaluru/Mumbai 
123,Everywhere
124,uc
125,रघुकुल
126,Nederland
127,DELHI
128,"Prague, Czech Republic"
129,INDIA i.e. BHARATH -KARNATAKA
130,"Ghaziabad, India"
131,"Mankato, MN"
132,NEW DELHI & PUNJAB
133,"New Delhi, Washington, London,"
134,"शहडोल, भारत"
135,pitampura
136,BAM/BBS/NDLS/BCT/SBC/NYC
137,South Asia
138,Ahmedabad
139,Bharat
140,"Mera Bharat, Hindustan, India"
141,Melbourne
142,"Chennai, India"
143,Lucknow 
144,Madrid
145,"Berlin, Germany "
146,Europe
147,Hogwarts se 1st left
148,Mumbai or Muzaffarpur
149,"Palam, New Delhi"
150,Dubai UAE and Mumbai INDIA
151,"Mumbai & Bhopal, India"
152,Deccan
153,"Canada, mostly"
154,"Wallingford, UK"
155,https://www.quora.com/profile/
156,Karnal
157,Canada
158,", "
159,Kochi
160,noida
161,"Bangalore, Karnataka"
162,हिन्दुस्तान
163,Earth
164,Bhavnagar
165,Frm Nashik now TeachersVillage
166,"New Delhi, Delhi"
167,N.Delhi
168,Delhi and NCR
169,Bangalore imphal
170,Twitter  
171,"New Delhi & Atlanta, GA"
172,"Andheri (East), Mumbai"
173,Pochinki(Erangel) में रहता हूँ
174,"Chicago, IL"
175,"Dharwad, India"
176,New Delhi & Visakhapatnam
177,"Gandhinagar, Gujarat India"
178,Live In New Delhi
179,"New Delhi, Noida"
180,New York
181,India (Gujarat)
182,"The Land of Legends, Bharat"
183,"Deoghar, Jharkhand, India "
184,Bharat. Hindustan
185,Planet Earth
186,Denial
187,"Hyderabad, Telangana, India"
188,ഹസ്തിനപുരം
189,"Mumbai, INDIA"
190,"Patna/Ranchi/Mumbai, "
191,Cloud Cuckoo Land
192,"Bonn, Germany"
193,india
194,BANGALORE
195,Spectral Extant
196,"Jharkhand, India"
197,"Gurgaon , India"
198,I am omnipresent. 
199,"धनोरी(जीन्द),हरियाणा(भारत)"
200,"Haldwani-Kathgodam, India"
201,"Dhaka, Bangladesh"
202,Globe Trotter
203,new delhi
204,"Sultanpur, New Delhi"
205,New delhi
206,Jaipur (India)
207,"Bogotá, Colombia"
208,"New Delhi ,India"
209,"Bangalore, India"
210,"New Delhi, INDIA"
211,लख़नऊ
212,"New Delhi, India (मारवाड़ी ♥️) "
213,BIHAR
214,"Lucknow, India"
215,Almora-Uttrakhand-Delhi
216,farp
217,Jaipur 
218,श्मशान घाट
219,"Ankleshwar, India"
220,"Chennai, India."
221,"595, Budhwar Peth, Pune"
